Age,Year,Premium,Money_Back,Total_Investment,Final_Value
25,1,166000,0,166000,0
25,2,166000,75000,332000,0
25,3,166000,0,498000,0
25,4,166000,75000,664000,0
25,5,166000,0,830000,0
25,6,166000,75000,996000,0
25,7,166000,0,1162000,0
25,8,166000,75000,1328000,0
25,9,166000,0,1494000,0
25,10,166000,75000,1660000,0
25,11,166000,0,1826000,0
25,12,166000,75000,1992000,0
25,13,166000,0,2158000,0
25,14,166000,75000,2324000,0
25,15,166000,0,2490000,0
25,16,0,75000,2490000,0
25,17,0,0,2490000,0
25,18,0,75000,2490000,0
25,19,0,0,2490000,0
25,20,0,75000,2490000,0
25,21,0,0,2490000,0
25,22,0,0,2490000,0
25,23,0,0,2490000,0
25,24,0,0,2490000,0
25,25,0,0,2490000,5320225
